Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
02/28/2017 14:32,02/28/2017 14:59,EURUSD,Buy,0.01,1.05933,1.06333,1.06033,1.05933,-10.0,-1.04,00:00:27:00,-0.13
02/27/2017 20:05,02/27/2017 21:49,EURUSD,Buy,0.01,1.06076,1.06476,1.06176,1.06076,-10.0,-1.04,00:01:44:00,-0.13
02/24/2017 18:52,02/24/2017 19:05,EURUSD,Sell,0.01,1.05792,1.05392,1.05692,1.05792,-10.0,-1.04,00:00:13:00,-0.13
02/24/2017 13:51,02/24/2017 14:47,EURUSD,Buy,0.01,1.05849,1.06249,1.05949,1.05849,-10.0,-1.04,00:00:56:00,-0.13
02/24/2017 11:43,02/24/2017 12:48,EURUSD,Buy,0.01,1.05849,1.06249,1.05949,1.05849,-10.0,-1.04,00:01:05:00,-0.13
02/23/2017 17:13,02/24/2017 12:17,EURUSD,Buy,0.01,1.05620,1.06020,1.05720,1.06020,30.0,2.93,00:19:04:00,0.36
02/23/2017 11:22,02/23/2017 11:41,EURUSD,Sell,0.01,1.05537,1.05137,1.05437,1.05537,-10.0,-1.04,00:00:19:00,-0.13
02/22/2017 20:54,02/22/2017 21:55,EURUSD,Buy,0.01,1.05460,1.05860,1.05560,1.05460,-10.0,-1.04,00:01:01:00,-0.13
02/22/2017 10:33,02/22/2017 12:00,EURUSD,Sell,0.01,1.05432,1.05032,1.05332,1.05032,30.0,2.96,00:01:27:00,0.37
02/22/2017 05:43,02/22/2017 10:11,EURUSD,Buy,0.01,1.05418,1.05818,1.05518,1.05418,-10.0,-1.04,00:04:28:00,-0.13
02/21/2017 11:22,02/21/2017 13:22,EURUSD,Sell,0.01,1.05867,1.05467,1.05767,1.05467,30.0,2.96,00:02:00:00,0.37
02/21/2017 04:37,02/21/2017 12:02,EURUSD,Sell,0.01,1.06129,1.05729,1.06029,1.05729,30.0,2.96,00:07:25:00,0.37
02/20/2017 05:44,02/20/2017 08:32,EURUSD,Sell,0.01,1.06151,1.05751,1.06051,1.06151,-10.0,-1.04,00:02:48:00,-0.13
02/17/2017 19:14,02/17/2017 22:42,EURUSD,Sell,0.01,1.06469,1.06069,1.06369,1.06069,30.0,2.96,00:03:28:00,0.37
02/17/2017 11:40,02/17/2017 19:22,EURUSD,Sell,0.01,1.06709,1.06309,1.06609,1.06309,30.0,2.96,00:07:42:00,0.37
02/16/2017 12:06,02/16/2017 17:15,EURUSD,Buy,0.01,1.06139,1.06539,1.06239,1.06539,30.0,2.96,00:05:09:00,0.37
02/15/2017 20:28,02/16/2017 04:21,EURUSD,Buy,0.01,1.05759,1.06159,1.05859,1.06159,30.0,2.86,00:07:53:00,0.36
02/15/2017 12:10,02/15/2017 17:30,EURUSD,Sell,0.01,1.05748,1.05348,1.05648,1.05348,30.0,2.96,00:05:20:00,0.38
02/15/2017 07:09,02/15/2017 11:33,EURUSD,Buy,0.01,1.05696,1.06096,1.05796,1.05696,-10.0,-1.04,00:04:24:00,-0.13
02/14/2017 19:01,02/14/2017 19:49,EURUSD,Sell,0.01,1.06010,1.05610,1.05910,1.05610,30.0,2.96,00:00:48:00,0.38
02/14/2017 08:18,02/14/2017 19:00,EURUSD,Buy,0.01,1.05987,1.06387,1.06087,1.05987,-10.0,-1.04,00:10:42:00,-0.13
02/13/2017 18:36,02/14/2017 09:56,EURUSD,Sell,0.01,1.06216,1.05816,1.06116,1.06216,-10.0,-1.03,00:15:20:00,-0.13
02/14/2017 06:14,02/14/2017 07:04,EURUSD,Sell,0.01,1.06017,1.05617,1.05917,1.06017,-10.0,-1.04,00:00:50:00,-0.13
02/13/2017 12:10,02/13/2017 13:12,EURUSD,Buy,0.01,1.06425,1.06825,1.06525,1.06425,-10.0,-1.04,00:01:02:00,-0.13
02/10/2017 11:51,02/10/2017 17:34,EURUSD,Sell,0.01,1.06592,1.06192,1.06492,1.06192,30.0,2.96,00:05:43:00,0.38
02/10/2017 05:21,02/10/2017 09:33,EURUSD,Buy,0.01,1.06544,1.06944,1.06644,1.06544,-10.0,-1.04,00:04:12:00,-0.13
02/10/2017 04:34,02/10/2017 05:06,EURUSD,Sell,0.01,1.06605,1.06205,1.06505,1.06605,-10.0,-1.04,00:00:32:00,-0.13
02/09/2017 18:56,02/09/2017 19:52,EURUSD,Sell,0.01,1.06798,1.06398,1.06698,1.06798,-10.0,-1.04,00:00:56:00,-0.13
