Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
05/26/2017 10:30,05/26/2017 15:33,EURUSD,Sell,0.03,1.11784,0.00000,1.12258,1.11784,47.4,14.09,00:05:03:00,0.15
05/22/2017 12:15,05/22/2017 13:34,EURUSD,Buy,0.07,1.12331,0.00000,1.12170,1.12331,16.1,10.96,00:01:19:00,0.11
05/18/2017 20:15,05/21/2017 23:00,EURUSD,Buy,0.07,1.11922,0.00000,1.10898,1.11922,102.4,71.14,03:02:45:00,0.74
05/19/2017 09:38,05/21/2017 23:00,EURUSD,Buy,0.03,1.11967,0.00000,1.11438,1.11967,52.9,15.74,02:13:22:00,0.16
05/18/2017 08:30,05/18/2017 20:36,EURUSD,Sell,0.03,1.10973,0.00000,1.11261,1.10973,28.8,8.51,00:12:06:00,0.09
05/16/2017 08:53,05/16/2017 10:26,EURUSD,Buy,0.09,1.09437,1.10367,1.10157,1.10367,21.0,18.50,00:01:33:00,0.19
05/15/2017 13:37,05/16/2017 08:53,EURUSD,Sell,0.03,1.10150,0.00000,1.09690,1.10150,-46.0,-13.90,00:19:16:00,-0.15
05/04/2017 18:15,05/07/2017 23:07,EURUSD,Buy,0.07,1.10068,0.00000,1.09787,1.10068,28.1,19.13,03:04:52:00,0.20
05/04/2017 11:30,05/05/2017 08:59,EURUSD,Buy,0.03,1.09697,0.00000,1.09288,1.09697,40.9,12.04,00:21:29:00,0.13
04/28/2017 11:00,04/28/2017 13:07,EURUSD,Buy,0.03,1.09274,0.00000,1.09051,1.09274,22.3,6.56,00:02:07:00,0.07
04/26/2017 12:19,04/26/2017 17:42,EURUSD,Sell,0.16,1.09230,1.08620,1.08870,1.08620,25.0,39.30,00:05:23:00,0.41
04/26/2017 10:38,04/26/2017 17:00,EURUSD,Sell,0.09,1.09683,1.08753,1.08963,1.08753,21.0,18.51,00:06:22:00,0.20
04/25/2017 16:30,04/26/2017 12:19,EURUSD,Buy,0.07,1.08873,0.00000,1.09283,1.08873,-41.0,-29.24,00:19:49:00,-0.31
04/25/2017 18:00,04/26/2017 10:38,EURUSD,Buy,0.03,1.08965,0.00000,1.09425,1.08965,-46.0,-14.03,00:16:38:00,-0.15
04/25/2017 08:51,04/25/2017 16:01,EURUSD,Buy,0.09,1.08155,1.09085,1.08875,1.09085,21.0,18.51,00:07:10:00,0.19
04/24/2017 14:00,04/25/2017 08:51,EURUSD,Sell,0.03,1.08875,0.00000,1.08415,1.08875,-46.0,-13.90,00:18:51:00,-0.15
04/20/2017 20:00,04/21/2017 15:08,EURUSD,Sell,0.03,1.07080,0.00000,1.07180,1.07080,10.0,2.90,00:19:08:00,0.03
04/18/2017 15:00,04/19/2017 08:21,EURUSD,Buy,0.03,1.07150,0.00000,1.06985,1.07150,16.5,4.72,00:17:21:00,0.05
04/17/2017 15:53,04/18/2017 13:35,EURUSD,Buy,0.62,1.05416,1.06776,1.06596,1.06776,18.0,106.96,00:21:42:00,1.14
04/13/2017 13:50,04/17/2017 15:53,EURUSD,Sell,0.16,1.06594,1.05984,1.06234,1.06594,-36.0,-57.93,04:02:03:00,-0.61
04/12/2017 22:15,04/13/2017 13:50,EURUSD,Buy,0.07,1.06234,0.00000,1.06644,1.06234,-41.0,-29.68,00:15:35:00,-0.31
04/12/2017 21:18,04/12/2017 21:51,EURUSD,Buy,0.09,1.05724,1.06654,1.06444,1.06654,21.0,18.52,00:00:33:00,0.20
04/07/2017 19:00,04/12/2017 21:18,EURUSD,Sell,0.03,1.06444,0.00000,1.05984,1.06444,-46.0,-13.83,05:02:18:00,-0.15
04/06/2017 12:00,04/07/2017 14:30,EURUSD,Sell,0.03,1.06448,0.00000,1.06670,1.06448,22.2,6.56,01:02:30:00,0.07
